number,section,title,basis,result,nonconformity,note
98,Контроль в области обращения с отходами,"Накопление, хранение отходов шин осуществляется соответственно в местах накопления отходов, оснащенных средствами пожаротушения","пункт 75 приказа Минприроды России от 11.06.2021 №399 ""Об утверждении требований при обращении с группами однородных отходов 1-5 классов опасности""",1,,
99,Контроль в области охраны атмосферного воздуха,Проведена инвентаризация стационарных источников и выбросов загрязняющих веществ в атмосферный воздух,"пункт 1 Приказа Минприроды России от 19.11.2021 N 871 ""Об утверждении Порядка проведения инвентаризации стационарных источников и выбросов загрязняющих веществ в атмосферный воздух, корректировки ее данных, документирования и хранения данных, полученных в результате проведения таких инвентаризации и корректировки""",1,,
100,Контроль в области охраны атмосферного воздуха,Предельно допустимые выбросы загрязняющих веществ в атмосферный воздух установлены,"пункт 1 статьи 12 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
101,Контроль в области охраны атмосферного воздуха,В случае невозможности соблюдения предельно допустимых выбросов и(или) технологических нормативово выбросов имеются установленные временно разрешенные выбросы,"пункт 4 статьи 12 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
102,Контроль в области охраны атмосферного воздуха,"В случае установления временно разрешенных выбросов, имеется и выполняется план мероприятий по охране окружающей среды или программы повышения экологической эффективности (для объектов II и III категории)","часть 2 статьи 23.1 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
103,Контроль в области охраны атмосферного воздуха,"Выбросы загрязняющих веществ в атмосферный воздух на объектах II категории (за исключением выбросов радиоактивных веществ) осуществляются на основании декларации о воздействии на окружающую среду, представляемой в соответствии с законодательством в области охраны окружающей среды в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти или орган исполнительной власти субъекта Российской Федерации.","пункт 9 статьи 15 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
104,Контроль в области охраны атмосферного воздуха,"При осуществлении хозяйственной и (или) иной деятельности на объектах III категории, представляется в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти или орган исполнительной власти субъекта Российской Федерации в уведомительном порядке отчетность о выбросах загрязняющих веществ в атмосферный воздух (за исключением выбросов радиоактивных веществ)","пункт 9 статьи 15 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
105,Контроль в области охраны атмосферного воздуха,В организации ведется учет выбросов парниковых газов,Постановление Правительства РФ от 20.04.2022 N 707; Приказ Минприроды России от 27.05.2022 N 371,1,,
106,Контроль в области охраны атмосферного воздуха,Эксплуатация установок очистки газа осуществляется в соответствии с утвержденными правилами,"пункт 1 статьи 16.1 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
107,Контроль в области охраны атмосферного воздуха,"Определено должностное лицо, ответственное за эксплуатацию ГОУ и ведение паспорта ГОУ","пункт 15 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 123",1,,
108,Контроль в области охраны атмосферного воздуха,ГОУ действует бесперебойно и обеспечивает очистку и (или) обезвреживание выбросов от технологического оборудования (установки) в течение всего периода работы этого оборудования (с момента пуска (включения) до полной остановки) на уровне технических характеристик ГОУ,"пункт 6 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
109,Контроль в области охраны атмосферного воздуха,"Соблюдается запрет на эксплуаитацию соответствующего технологического оборудования в случае, если ГОУ отключена или не обеспечивает проектную очистку и (или) обезвреживание выбросов","пункт 7 Правил эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
110,Контроль в области охраны атмосферного воздуха,На ОНВ ведется реестр ГОУ,"пункт 14 Правил эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 123",1,,
111,Контроль в области охраны атмосферного воздуха,Регистрационный номер нанесен на корпус установки и указан на схеме объекта или его отдельных территорий,"пункт 13 Правил эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
112,Контроль в области охраны атмосферного воздуха,Паспорт ГОУ разработан и утвержден,"пункт 15 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 123",1,,
113,Контроль в области охраны атмосферного воздуха,"Инструкция по эксплуатации ГОУ разработана, утверждена и содержит последовательность действий при пуске и останове ГОУ","пункт 15 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
114,Контроль в области охраны атмосферного воздуха,"Технический осмотр ГОУ и проверка показателей работы ГОУ, подлежащих контролю и указанных в паспорте ГОУ, включая проведение лабораторных измерений при необходимости, проводиться не реже двух раз в год","пункт 19 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 122",1,,
115,Контроль в области охраны атмосферного воздуха,"Разработана программа технического обслуживания, технического осмотра и проверки показателей работы ГОУ и планово-предупредительного ремонта","пункт 15 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 123",1,,
116,Контроль в области охраны атмосферного воздуха,"Планово-предупредительный ремонт ГОУ должен осуществляться в соответствии с программой, но не реже одного раза в год","пункт 23 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
117,Контроль в области охраны атмосферного воздуха,"ГОУ оборудована специальными местами отбора проб, оборудованием для измерения параметров отходящих газов, необходимых для определения фактической эффективности работы.","пункт 10 Правил эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
118,Контроль в области охраны атмосферного воздуха,Места отбора проб на ГОУ соответствуют предъявляемым требованиям,"пункты 2.1, 2.2 ГОСТ 17.2.4.06-90",1,,
119,Контроль в области охраны атмосферного воздуха,"Соблюдается запрет на эксплуатацию технологического оборудования в случае, если установки очистки газа не обеспечивают проектную очистку и (или) обезвреживание выбросов загрязняющих веществ в атмосферный воздух.","пункт 2 статьи 16.1 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
120,Контроль в области охраны атмосферного воздуха,"Сведения о результатах технического осмотра, проверки фактических показателей работы, планово-предупредительного или внепланового ремонта, устранения обнаруженных неисправностей занесены в паспорт ГОУ в срок, не превышающий 30 календарных дней со дня окончания указанных работ","пункт 27 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 124",1,,
121,Контроль в области охраны атмосферного воздуха,К паспорту ГОУ прилагается вся необходимая документация,"пункт 28 Правила эксплуатации установок очистки газа, утвержденные приказом Министерства природных ресурсов и экологии Российской Федерации от 21.03.2025 № 125",1,,
122,Контроль в области охраны атмосферного воздуха,Журнал по форме ПОД-3 (учета работы газоочистных и пылеулавливающих установок) ведется. Данные журнала достоверны,"Приказ Росстата от 08.11.2018 N 661 ""Об утверждении статистического инструментария для организации Федеральной службой по надзору в сфере природопользования федерального статистического наблюдения за охраной атмосферного воздуха""",1,,
123,Контроль в области охраны атмосферного воздуха,Корпус ГОУ (пылеуловитель) и коммуникации герметичны,Инструкция по эксплуатации ГОУ,1,,
124,Контроль в области охраны атмосферного воздуха,Уровень древесной пыли и стружки в накопительном бункере ГОУ находится в допустимых пределах,Инструкция по эксплуатации ГОУ,1,,
125,Контроль в области охраны атмосферного воздуха,Организация взаимодействия при получении прогнозов о НМУ,"пункт 3 статьи 19 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""; пункты 1-3 требований к мероприятиям по уменьшению выбросов загрязняющих веществ в атмосферный воздух в периоды неблагоприятных метеорологических условий, утвержденных приказом Министерства природных ресурсов и экологии Российской Федерации от 28.11.2019г. № 811",1,,
126,Контроль в области охраны атмосферного воздуха,"Проведение мероприятия по уменьшению выбросов загрязняющих веществ в атмосферный воздух, согласованных с органами исполнительной власти субъектов Российской Федерации, уполномоченными на осуществление регионального государственного экологического надзора.","пункт 3 статьи 19 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""; пункты 1-3 требований к мероприятиям по уменьшению выбросов загрязняющих веществ в атмосферный воздух в периоды неблагоприятных метеорологических условий, утвержденных приказом Министерства природных ресурсов и экологии Российской Федерации от 28.11.2019г. № 811",1,,
127,Контроль в области охраны атмосферного воздуха,При осуществлении хозяйственной деятельности проводится: - инвентаризация стационарных источников выбросов загрязняющих веществ в атмосферный воздух; - документирование и хранение полученных в результате проведения инвентаризации и корректировки этой инвентаризации сведений.,"пункт 1 статьи 22 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""; Порядок проведения инвентаризации стационарных источников и выбросов загрязняющих веществ в атмосферный воздух, корректировки ее данных, документирования и хранения данных, полученных в результате проведения таких инвентаризации и корректировки, утвержденного приказом Министерства природных ресурсов и экологии Российской Федерации от 19.11.2021г. № 871",1,,
128,Контроль в области охраны атмосферного воздуха,Соблюдаются требования к организации и оформлению санитарно-защитных зон.,"СанПиН 2.2.1.2.1.1.1200-03 ""Санитарно-защитные зоны и санитарная классификация предприятий, сооружений и иных объектов""; Постановление Правительства Российской Федерации от 03.03.2018 № 222 ""Об утверждении правил установления санитарно-защитных зон и использования земельных участков, расположенных в границах санитарно-защитных зон"".",1,,
129,Контроль в области охраны атмосферного воздуха,Осуществляется учет выбросов загрязняющих веществ в атмосферный воздух и их источников.,"пункт 1 статьи 30 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
130,Контроль в области охраны атмосферного воздуха,Сведения об охране атмосферного воздуха (форма № 2-ТП (воздух)) предоставлены,Приказ Росстата от 08.11.2018 №661,1,,
131,Контроль в области охраны атмосферного воздуха,Отчет о выбросах парниковых газов предоставлен до 1 июля в уполномоченный федеральный орган исполнительной власти в установленной форме,"п.2 ст.7 ФЗ ""Об ограничении выбросов парниковых газов"" от 02.07.2021",1,,
132,Контроль в области охраны атмосферного воздуха,Контроль выбросов ЗВ в атмосферный воздух от автотранспорта,"пункт 2 статьи 30 Федерального закона от 04.05.1999 № 96-ФЗ ""Об охране атмосферного воздуха""",1,,
133,Контроль в области охраны атмосферного воздуха,На ОНВ соблюдается график проведения инструментального контроля за выбросами загрязняющих веществ в атмосферный воздух от стационарных источников,"пункт 1 статьи 16.1, пункты 2,3, 4 статьи 16.2 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
134,Контроль в области охраны атмосферного воздуха,Соблюдается план-график проведение мониторинга атмосферного воздуха и уровня звукового воздействия на границе СЗЗ и ближайшей жилой застройки,Утвержденный план-график мониторинга атмосферного воздуха ЛПЭМ ИТЦ,1,,
135,Контроль в области охраны атмосферного воздуха,Приборы инструментального контроля за выбросами загрязняющих веществ в атмосферный воздух от стационарных источников проходят периодическую поверку,"статья 12 Федерального закона от 26.06.2008 N 102-ФЗ ""Об обеспечени единства измерений""",1,,
136,Контроль в области использования и охраны водных объектов,Проведена инвентаризация сбросов загрязняющих веществ в окружающую среду,"Постановление Правительства РФ от 13.07.2019 N 891 ""Об утверждении Правил проведения инвентаризации сбросов загрязняющих веществ в окружающую среду""",1,,
137,Контроль в области использования и охраны водных объектов,Определены нормативы допустимых сбросов веществ и микроорганизмов в водные объекты,"пункт 1 статьи 22 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
138,Контроль в области использования и охраны водных объектов,При невозможности соблюдения нормативов допустимых сбросов веществ и микроорганизмов в водные объекты установлены временно разрешенные сбросы,"пункт 1 статьи 23.1 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""; Правила выдачи разрешения на временные сбросы, утвержденных Постановлением Правительства Российской Федерации от 16.05.2022г. № 886",0,,
139,Контроль в области использования и охраны водных объектов,Соблюдаются нормативы допустимых сбросов веществ и микроорганизмов в водные объекты,"пункты 2, 3 статьи 21 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
140,Контроль в области использования и охраны водных объектов,Имеется План мероприятий по охране окружающей среды или Программа повышения экологической эффективности,"пункт 2 ст. 23.1 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
141,Контроль в области использования и охраны водных объектов,Выполняется План мероприятий по охране окружающей среды или Программа повышения экологической эффективности,"пункт 11 статьи 67.1 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
142,Контроль в области использования и охраны водных объектов,Осуществляется пользование водными объектами на основании договора водопользования,часть 2 статьи 11 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
143,Контроль в области использования и охраны водных объектов,Осуществляется пользование водными объектами на основании решения о предоставлении водного объекта в пользование,часть 3 статьи 11 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
144,Контроль в области использования и охраны водных объектов,Соблюдаются в полном объеме условия договора водопользования.,Договор водопользования,1,,
145,Контроль в области использования и охраны водных объектов,Соблюдаются условия решения о предоставлении водного объекта в пользование,Решение о предоставлении водного объекта в пользование,1,,
146,Контроль в области использования и охраны водных объектов,"Определено должностное лицо, ответственное за исправное состояние и безопасную оборудования и сооружений хозяйства водоснабжения и водоотведения",пункт 5.9 СТО Газпром 2-1.10-895-2014,1,,
147,Контроль в области использования и охраны водных объектов,"Определено должностное лицо, ответственное за организацию и ведение лабораторных работ по контролю очистки сточных вод",пункт 5.9 СТО Газпром 2-1.10-895-2014,1,,
148,Контроль в области использования и охраны водных объектов,"Определено должностное лицо, ответственное за учет водопотребления и водоотведения","пункт 14 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
149,Контроль в области использования и охраны водных объектов,Разработана и утверждена инстукция по эксплуатации очистных сооружений,"пункт 7.1.1 ""МДК 3-02.2001. Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации""",1,,
150,Контроль в области использования и охраны водных объектов,Разработан и утвержден паспорт очистных сооружений,"пункт 3.2.5 ""МДК 3-02.2001. Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации""",1,,
151,Контроль в области использования и охраны водных объектов,Технологический контроль проводится с целью обеспечения всесторонней оценки технологической эффективности работы очистных сооружений по требуемой степени очистки воды и обработки осадков.,"пункт 3.3.13 ""МДК 3-02.2001. Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации""",2,На очистных сооружениях хозяйственно-бытовой канализации ГКС-4 допускается останов системы аэрации,
152,Контроль в области использования и охраны водных объектов,Технологический контроль осуществляют регулярно. Все данные наблюдений и измерений заносят в журналы установленной формы.,"пункт 3.3.15 ""МДК 3-02.2001. Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации""",1,,
153,Контроль в области использования и охраны водных объектов,"В период весеннего паводкаосуществляется усиленное наблюдение за сетью канализации, не допускается сброс в сеть талых вод, мусора и сколотого льда",пункт 8.2.9 СТО Газпром 2-1.10-895-2014,1,,
154,Контроль в области использования и охраны водных объектов,Эксплуатация очистных сооружений осуществляется в соответствии с утвержденной режимной картой,Акт по результатам проведения режимно-наладочных испытаний и проверке выполнения рекомендаций (ИТЦ),1,,
155,Контроль в области использования и охраны водных объектов,Эксплуатационным персоналом выполняются рекомендации по повышению эффективности работы оборудования,Акт по результатам проведения режимно-наладочных испытаний и проверке выполнения рекомендаций (ИТЦ),1,,
156,Контроль в области использования и охраны водных объектов,Производственный контроль организован на всех этапах и стадиях очистки сточных вод,"пункт 3.3.7 ""МДК 3-02.2001. Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации""",1,,
157,Контроль в области использования и охраны водных объектов,При использовании водных объектов эксплуатируемые очистные сооружения и расположенные на водных объектах иные сооружения содержатся в исправном состоянии,пункт 2 части 2 статьи 39 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
158,Контроль в области использования и охраны водных объектов,"Измерение объема забора (изъятия) водных ресурсов из водных объектов или объема сброса сточных, в том числе дренажных, вод осуществляется на каждом водозаборе и выпуске сточных, в том числе дренажных, вод средствами измерения расходов (уровней) воды, которые устанавливаются на водозаборных сооружениях и сооружениях для сброса сточных, в том числе дренажных, вод","пункт 4 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
159,Контроль в области использования и охраны водных объектов,Обработка и регистрация результатов таких измерений и осуществляется по формам 1.1 - 1.4 приложения к Приказу Минприроды № 903,"пункт 3 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
160,Контроль в области использования и охраны водных объектов,"Журнал учета водопотребления, журнал учета водоотведения ведутся на бумажном носителе или в электронном виде без изменения форм 1.2 и 1.4 приложения к Приказу Минприроды № 903.","пункт 6 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
161,Контроль в области использования и охраны водных объектов,"Форма 1.2 (Приказа Минприроды № 903) применяется для определения количества воды, забираемой из водных объектов или из других систем водоснабжения, передаваемой потребителям, а также используемой в системах оборотного и повторно-последовательного водоснабжения.","пункт 7 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
162,Контроль в области использования и охраны водных объектов,Записи в журналах по формам 1.2 и 1.4 (Приказа Минприроды № 903) ведутся ежедневно на основании проведения замеров расходов (уровней) воды.,"пункт 8 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
163,Контроль в области использования и охраны водных объектов,"Суммарные расходы воды за месяц, квартал и в целом за год проставляются в тыс. м3.","пункт 9 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
164,Контроль в области использования и охраны водных объектов,"По согласованию с соответствующим территориальным органом Федерального агентства водных ресурсов в случае отсутствия технической возможности установки средств измерений объем забранной воды (сбрасываемых сточных, в том числе дренажных, вод) определяется исходя из времени работы и производительности технических средств (насосного оборудования), норм водопотребления (водоотведения) или с помощью других методов и осуществляется по формам 1.5 и 1.6 (Приказа Минприроды № 903)","пункт 11 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
165,Контроль в области использования и охраны водных объектов,Журнал учета водопотребления (водоотведения) другими методами ведется на бумажном носителе или в электронном виде без изменения формы 1.6 (Приказа Минприроды № 903),"пункт 12 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
166,Контроль в области использования и охраны водных объектов,"Лица, уполномоченные вести учет водопотребления и водоотведения по формам 1.2, 1.4 и 1.6 (Приказа Минприроды № 903) в организации, определяются ее руководителем. Правильность заполнения форм и достоверность фиксируемых данных должны проверяться уполномоченным должностным лицом указанной организации и подтверждаться его подписью в журнале","пункт 14 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
167,Контроль в области использования и охраны водных объектов,"Состав и свойства сбрасываемых сточных, в том числе дренажных, вод определяются отдельно на каждом выпуске таких вод в водные объекты, а также в точках закачки в подземные горизонты (формы 2.1 и 2.2 (Приказа Минприроды № 903))","пункт 16 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
168,Контроль в области использования и охраны водных объектов,"Лица, уполномоченные вести учет качества сточных, в том числе дренажных, вод по форме 2.2 (Приказа Минприроды № 903) в организации, определяются ее руководителем. Правильность заполнения формы и достоверность фиксируемых данных должны проверяться уполномоченным должностным лицом указанной организации и подтверждаться его подписью в журнале.","пункт 19 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
169,Контроль в области использования и охраны водных объектов,"Сведения, полученные в результате учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества (формы 3.1 - 3.3, указанные в приложении к Порядку), представляются в уполномоченный на предоставление водного объекта в пользование орган исполнительной власти субъекта Российской Федерации, территориальный орган Федерального агентства водных ресурсов ежеквартально в срок до 15 числа месяца, следующего за отчетным кварталом","пункт 24 Приказа Минприроды России от 09.11.2020 N 903 ""Об утверждении Порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
170,Контроль в области использования и охраны водных объектов,"При использовании водных объектов выполняются требования по: - ведению в установленном порядке учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных вод, их качества; - представлению бесплатно и в установленные сроки результатов такого учета и таких регулярных наблюдений в территориальный орган Федерального агентства водных ресурсов","пункт 5 части 2 статьи 39 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ; Приказ Минприроды России от 09.11.2020 № 903 ""Об утверждении порядка ведения собственниками водных объектов и водопользователями учета объема забора (изъятия) водных ресурсов из водных объектов и объема сброса сточных, в том числе дренажных, вод, их качества""",1,,
171,Контроль в области использования и охраны водных объектов,При использовании водных объектов выполняются требования по: - осуществлению регулярных наблюдений за водными объектами и их водоохранными зонами; - представлению бесплатно и в установленные сроки результатов такого учета и таких регулярных наблюдений в территориальный орган Федерального агентства водных ресурсов,"пункт 16 Положения об осуществлении государственного мониторинга водных объектов, утвержденного постановлением Правительства Российской Федерации от 10.04.2007 № 219",1,,
172,Контроль в области использования и охраны водных объектов,"При использовании водных объектов, входящих в водохозяйственные системы, соблюдается запрет на изменение водного режима этих водных объектов, которое может привести к нарушению прав третьих лиц",часть 2 статьи 42 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
173,Контроль в области использования и охраны водных объектов,Работы по изменению или обустройству природного водоема или водотока проводятся с соблюдением условия сохранения его естественного происхождения,часть 3 статьи 42 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
174,Контроль в области использования и охраны водных объектов,"Осуществляются водохозяйственные мероприятия и мероприятия по охране водных объектов, предотвращению их загрязнения, засорения и истощения вод, а также меры по ликвидации последствий указанных явлений.",статья 55 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
175,Контроль в области использования и охраны водных объектов,"Принимаются меры по предотвращению загрязнения, засорения подземных водных объектов и истощения вод, а также соблюдаются установленные нормативы допустимого воздействия на подземные водные объекты.",часть 1 статьи 59 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
176,Контроль в области использования и охраны водных объектов,"При проектировании, строительстве, реконструкции, вводе в эксплуатацию, эксплуатации гидротехнических сооружений и при внедрении новых технологических процессов учитывается их влияние на состояние водных объектов, а также соблюдаются нормативы допустимого воздействия на водные объекты, за исключением случаев, установленных федеральными законами.",часть 1 статьи 60 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
177,Контроль в области использования и охраны водных объектов,"При эксплуатации водохозяйственной системы соблюдается запрет на осуществление сброса в водные объекты сточных вод, не подвергшихся санитарной очистке, обезвреживанию",пункт 1 части 6 статьи 60 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
178,Контроль в области использования и охраны водных объектов,"Водопользователями, использующими водные объекты для забора (изъятия) водных ресурсов, приняты меры по предотвращению попадания рыб и других водных биологических ресурсов в водозаборные сооружения",часть 2 статьи 61 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
179,Контроль в области использования и охраны водных объектов,"Соблюдается запрет на движение и стоянку транспортных средств (кроме специальных транспортных средств) в границах водоохранных зон, за исключением их движения по дорогам и стоянки на дорогах и в специально оборудованных местах, имеющих твердое покрытие",пункт 4 части 15 статьи 65 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
180,Контроль в области использования и охраны водных объектов,"В границах водоохранных зон соблюдается запрет на: - размещение автозаправочных станций, складов горюче-смазочных материалов; - размещение станций технического обслуживания, используемых для технического осмотра и ремонта транспортных средств; - осуществление мойки транспортных средств",пункт 5 части 15 статьи 65 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
181,Контроль в области использования и охраны водных объектов,"Соблюдается запрет на сброс сточных, в том числе дренажных, вод в границах водоохранных зон",пункт 7 части 15 статьи 65 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
182,Контроль в области использования и охраны водных объектов,"При складировании грунта в береговые отвалы соблюдаются условия исключения попадания его в водоем при колебании уровня воды, поверхностных стоках, волнении и других условиях",пункт 19.16 СТО Газпром 2-2.2-457-2010,1,,
183,Контроль в области использования и охраны водных объектов,"При проектировании, строительстве, реконструкции, вводе в эксплуатацию, эксплуатации хозяйственных и иных объектов, расположенных в водоохранной зоне водных объектов, обеспечиваются требования по оборудованию таких объектов сооружениями, обеспечивающими охрану водных объектов от загрязнения, засорения, заиления и истощения вод в соответствии с водным законодательством и законодательством в области охраны окружающей среды.",часть 16 статьи 65 Водного кодекса Российской Федерации от 03.06.2006 № 74-ФЗ,1,,
184,Контроль в области использования и охраны водных объектов,"Статистическая отчетность по форме № 2-ТП (водхоз)) ""Сведения об использовании воды"" корректна и предоставлена в установленные сроки",Приказ Росстата от 27.12.2019 №815,1,,
185,Контроль в области использования и охраны водных объектов,"Осуществляется контроль состава и свойств сточных вод, сбрасываемых абонентами в централизованную систему водоотведения (канализацию) организацией, осуществляющей водоотведение, либо уполномоченной ею организацией в порядке, установленном Правительством Российской Федерации.","Правила осуществления контроля состава и свойств сточных вод, утвержденные постановлением Правительства Российской Федерации от 22.05.2020 № 728",1,,
186,Контроль в области использования и охраны водных объектов,"Средства измерения, эксплуатируемые на оборудовании и сооружениях хозяйства водоснабжения и водоотведения проходят периодическую поверку","статья 12 Федерального закона от 26.06.2008 N 102-ФЗ ""Об обеспечени единства измерений""",1,,
187,Контроль в области использования и охраны водных объектов,"Заключены абонентом, объекты капитального строительства которого подключены (технологически присоединены) к централизованной системе водоотведения, договоры водоотведения с гарантирующими организациями","часть 5 статьи 7 Федерального закона от 07.12.2011 N 416-ФЗ ""О водоснабжении и водоотведении"" <30> (далее - Закон N 416-ФЗ)",0,,
